,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
0,28,ANDHRA PRADESH,0,ANDHRA PRADESH,0,ANDHRA PRADESH,0,ANDHRA PRADESH
1,28,ANDHRA PRADESH,532,Adilabad,0,Adilabad,0,Adilabad
2,28,ANDHRA PRADESH,532,Adilabad,4305,Tamsi,0,Tamsi
3,28,ANDHRA PRADESH,532,Adilabad,4306,Adilabad,0,Adilabad
4,28,ANDHRA PRADESH,532,Adilabad,4306,Adilabad,802896,Adilabad (M)
5,28,ANDHRA PRADESH,532,Adilabad,4307,Jainad,0,Jainad
6,28,ANDHRA PRADESH,532,Adilabad,4308,Bela,0,Bela
7,28,ANDHRA PRADESH,532,Adilabad,4309,Talamadugu,0,Talamadugu
8,28,ANDHRA PRADESH,532,Adilabad,4310,Gudihathnoor,0,Gudihathnoor
9,28,ANDHRA PRADESH,532,Adilabad,4311,Inderavelly,0,Inderavelly
10,28,ANDHRA PRADESH,532,Adilabad,4312,Narnoor,0,Narnoor
11,28,ANDHRA PRADESH,532,Adilabad,4313,Kerameri ,0,Kerameri 
12,28,ANDHRA PRADESH,532,Adilabad,4314,Wankdi,0,Wankdi
13,28,ANDHRA PRADESH,532,Adilabad,4315,Sirpur (T),0,Sirpur (T)
14,28,ANDHRA PRADESH,532,Adilabad,4316,Kouthala,0,Kouthala
15,28,ANDHRA PRADESH,532,Adilabad,4317,Bejjur,0,Bejjur
16,28,ANDHRA PRADESH,532,Adilabad,4318,Kagaznagar,0,Kagaznagar
17,28,ANDHRA PRADESH,532,Adilabad,4318,Kagaznagar,802897,Kagaznagar (M)
18,28,ANDHRA PRADESH,532,Adilabad,4319,Asifabad ,0,Asifabad 
19,28,ANDHRA PRADESH,532,Adilabad,4320,Jainoor,0,Jainoor
20,28,ANDHRA PRADESH,532,Adilabad,4321,Utnoor,0,Utnoor
21,28,ANDHRA PRADESH,532,Adilabad,4322,Ichoda,0,Ichoda
22,28,ANDHRA PRADESH,532,Adilabad,4323,Bazarhathnoor,0,Bazarhathnoor
23,28,ANDHRA PRADESH,532,Adilabad,4324,Boath,0,Boath
24,28,ANDHRA PRADESH,532,Adilabad,4325,Neradigonda,0,Neradigonda
25,28,ANDHRA PRADESH,532,Adilabad,4326,Sirpur,0,Sirpur
26,28,ANDHRA PRADESH,532,Adilabad,4327,Rebbana,0,Rebbana
27,28,ANDHRA PRADESH,532,Adilabad,4328,Bhimini,0,Bhimini
28,28,ANDHRA PRADESH,532,Adilabad,4329,Dahegaon,0,Dahegaon
29,28,ANDHRA PRADESH,532,Adilabad,4330,Vemanpalle,0,Vemanpalle
30,28,ANDHRA PRADESH,532,Adilabad,4331,Nennal,0,Nennal
31,28,ANDHRA PRADESH,532,Adilabad,4332,Tandur,0,Tandur
32,28,ANDHRA PRADESH,532,Adilabad,4333,Tiryani,0,Tiryani
33,28,ANDHRA PRADESH,532,Adilabad,4334,Jannaram,0,Jannaram
34,28,ANDHRA PRADESH,532,Adilabad,4335,Kaddam (Peddur),0,Kaddam (Peddur)
35,28,ANDHRA PRADESH,532,Adilabad,4336,Sarangapur,0,Sarangapur
36,28,ANDHRA PRADESH,532,Adilabad,4337,Kuntala,0,Kuntala
37,28,ANDHRA PRADESH,532,Adilabad,4338,Kubeer,0,Kubeer
38,28,ANDHRA PRADESH,532,Adilabad,4339,Bhainsa,0,Bhainsa
39,28,ANDHRA PRADESH,532,Adilabad,4339,Bhainsa,802898,Bhainsa (M)
40,28,ANDHRA PRADESH,532,Adilabad,4340,Tanoor,0,Tanoor
41,28,ANDHRA PRADESH,532,Adilabad,4341,Mudhole,0,Mudhole
42,28,ANDHRA PRADESH,532,Adilabad,4342,Lokeswaram,0,Lokeswaram
43,28,ANDHRA PRADESH,532,Adilabad,4343,Dilawarpur,0,Dilawarpur
44,28,ANDHRA PRADESH,532,Adilabad,4344,Nirmal,0,Nirmal
45,28,ANDHRA PRADESH,532,Adilabad,4344,Nirmal,802899,Nirmal (M)
46,28,ANDHRA PRADESH,532,Adilabad,4345,Laxmanchanda,0,Laxmanchanda
47,28,ANDHRA PRADESH,532,Adilabad,4346,Mamda,0,Mamda
48,28,ANDHRA PRADESH,532,Adilabad,4347,Khanapur,0,Khanapur
49,28,ANDHRA PRADESH,532,Adilabad,4348,Dandepalle,0,Dandepalle
50,28,ANDHRA PRADESH,532,Adilabad,4349,Kasipet,0,Kasipet
51,28,ANDHRA PRADESH,532,Adilabad,0,Adilabad,802900,Bellampalle (M)
52,28,ANDHRA PRADESH,532,Adilabad,4349,Kasipet,802900,Bellampalle (M) (Part)
53,28,ANDHRA PRADESH,532,Adilabad,4350,Bellampalle,0,Bellampalle
54,28,ANDHRA PRADESH,532,Adilabad,4350,Bellampalle,802900,Bellampalle (M) (Part)
55,28,ANDHRA PRADESH,532,Adilabad,4351,Kotapalle,0,Kotapalle
56,28,ANDHRA PRADESH,532,Adilabad,4352,Mandamarri,0,Mandamarri
57,28,ANDHRA PRADESH,532,Adilabad,4352,Mandamarri,802901,Mandamarri (M)
58,28,ANDHRA PRADESH,532,Adilabad,4353,Luxettipet,0,Luxettipet
59,28,ANDHRA PRADESH,532,Adilabad,4354,Mancherial,0,Mancherial
60,28,ANDHRA PRADESH,532,Adilabad,4354,Mancherial,802902,Mancherial (M + OG)
61,28,ANDHRA PRADESH,532,Adilabad,4354,Mancherial,802902,Mancherial (M)
62,28,ANDHRA PRADESH,532,Adilabad,4355,Jaipur,0,Jaipur
63,28,ANDHRA PRADESH,532,Adilabad,4356,Chennur,0,Chennur
64,28,ANDHRA PRADESH,533,Nizamabad,0,Nizamabad,0,Nizamabad
65,28,ANDHRA PRADESH,533,Nizamabad,4357,Ranjal,0,Ranjal
66,28,ANDHRA PRADESH,533,Nizamabad,4358,Navipet,0,Navipet
67,28,ANDHRA PRADESH,533,Nizamabad,4359,Nandipet,0,Nandipet
68,28,ANDHRA PRADESH,533,Nizamabad,4360,Armur,0,Armur
69,28,ANDHRA PRADESH,533,Nizamabad,4360,Armur,802903,Armur (M + OG)
70,28,ANDHRA PRADESH,533,Nizamabad,4360,Armur,802903,Armur (M)
71,28,ANDHRA PRADESH,533,Nizamabad,4361,Balkonda,0,Balkonda
72,28,ANDHRA PRADESH,533,Nizamabad,4362,Mortad,0,Mortad
73,28,ANDHRA PRADESH,533,Nizamabad,4363,Kammarpalle,0,Kammarpalle
74,28,ANDHRA PRADESH,533,Nizamabad,4364,Bheemgal,0,Bheemgal
75,28,ANDHRA PRADESH,533,Nizamabad,4365,Velpur,0,Velpur
76,28,ANDHRA PRADESH,533,Nizamabad,4366,Jakranpalle,0,Jakranpalle
77,28,ANDHRA PRADESH,533,Nizamabad,4367,Makloor,0,Makloor
78,28,ANDHRA PRADESH,533,Nizamabad,4368,Nizamabad,0,Nizamabad
79,28,ANDHRA PRADESH,533,Nizamabad,4368,Nizamabad,802904,Nizamabad (M Corp.)
80,28,ANDHRA PRADESH,533,Nizamabad,4369,Yedpalle,0,Yedpalle
81,28,ANDHRA PRADESH,533,Nizamabad,4370,Bodhan,0,Bodhan
82,28,ANDHRA PRADESH,533,Nizamabad,4370,Bodhan,802905,Bodhan (M)
83,28,ANDHRA PRADESH,533,Nizamabad,4371,Kotgiri,0,Kotgiri
84,28,ANDHRA PRADESH,533,Nizamabad,4372,Madnoor,0,Madnoor
85,28,ANDHRA PRADESH,533,Nizamabad,4373,Jukkal,0,Jukkal
